State,Year,Total_Crimes,Normalized_Crime_Factor,hour,battery_percent,is_alone,mode_of_travel,risk_score
ANDHRA PRADESH,2001,13669,1.31,18,80,1,cab,4.3
ANDHRA PRADESH,2001,13669,1.31,7,73,1,cab,3.8
ANDHRA PRADESH,2001,13669,1.31,14,60,0,walking,3.7
ANDHRA PRADESH,2001,13669,1.31,18,90,0,walking,4.3
ANDHRA PRADESH,2001,13669,1.31,15,29,0,walking,3.7
ANDHRA PRADESH,2001,13669,1.31,19,82,0,cab,3.4
ANDHRA PRADESH,2001,13669,1.31,12,35,1,walking,4.9
ANDHRA PRADESH,2001,13669,1.31,0,47,1,walking,6.1
ANDHRA PRADESH,2001,13669,1.31,12,39,1,walking,4.8
ANDHRA PRADESH,2001,13669,1.31,23,90,1,walking,6.0
ANDHRA PRADESH,2001,13669,1.31,20,98,1,walking,5.2
ANDHRA PRADESH,2001,13669,1.31,1,99,1,metro,4.8
ANDHRA PRADESH,2001,13669,1.31,7,12,0,walking,4.6
ANDHRA PRADESH,2001,13669,1.31,11,61,0,metro,2.3
ANDHRA PRADESH,2001,13669,1.31,16,37,0,walking,3.8
ANDHRA PRADESH,2001,13669,1.31,19,72,0,metro,2.8
ANDHRA PRADESH,2001,13669,1.31,19,14,0,metro,3.7
ANDHRA PRADESH,2001,13669,1.31,0,57,1,metro,4.5
ANDHRA PRADESH,2001,13669,1.31,8,40,0,metro,2.4
ANDHRA PRADESH,2001,13669,1.31,18,56,0,walking,4.2
ANDHRA PRADESH,2001,13669,1.31,19,55,0,walking,4.2
ANDHRA PRADESH,2001,13669,1.31,19,5,0,metro,3.6
ANDHRA PRADESH,2001,13669,1.31,14,18,0,cab,3.9
ANDHRA PRADESH,2001,13669,1.31,15,83,0,metro,2.2
ANDHRA PRADESH,2001,13669,1.31,12,99,0,metro,2.4
ANDHRA PRADESH,2001,13669,1.31,0,90,1,walking,6.2
ANDHRA PRADESH,2001,13669,1.31,16,100,1,cab,3.6
ANDHRA PRADESH,2001,13669,1.31,21,89,0,metro,3.5
ANDHRA PRADESH,2001,13669,1.31,18,24,0,metro,2.7
ANDHRA PRADESH,2001,13669,1.31,2,74,1,cab,5.0
ANDHRA PRADESH,2001,13669,1.31,18,78,1,cab,4.2
ANDHRA PRADESH,2001,13669,1.31,21,16,1,cab,5.6
ANDHRA PRADESH,2001,13669,1.31,12,47,0,metro,2.1
ANDHRA PRADESH,2001,13669,1.31,5,94,1,walking,4.5
ANDHRA PRADESH,2001,13669,1.31,5,46,0,cab,2.8
ANDHRA PRADESH,2001,13669,1.31,20,84,1,metro,3.7
ANDHRA PRADESH,2001,13669,1.31,10,77,1,metro,3.5
ANDHRA PRADESH,2001,13669,1.31,20,53,0,cab,3.4
ANDHRA PRADESH,2001,13669,1.31,23,70,1,metro,4.3
ANDHRA PRADESH,2001,13669,1.31,18,42,0,metro,3.0
ANDHRA PRADESH,2001,13669,1.31,2,27,1,walking,6.3
ANDHRA PRADESH,2001,13669,1.31,21,66,0,cab,3.7
ANDHRA PRADESH,2001,13669,1.31,1,57,0,metro,3.6
